style,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Gabon,0,0,0,0,0,0,0,0,0,0,0,0
Northern Ireland,4,4,2,0,1,7,2,18,16,12,19,20
Virgin Islands (British),0,0,0,0,0,0,0,0,0,0,0,0
Singapore,5,2,6,9,8,0,3,0,4,2,5,5
China,8,16,2,3,3,3,6,1,13,5,6,9
Chad,0,0,0,0,0,0,0,0,0,0,0,0
Cameroon,0,0,0,2,0,0,0,0,0,0,0,0
Burkina Faso,0,0,0,0,0,0,0,0,0,0,0,0
Zambia,0,0,0,0,0,0,0,0,0,0,0,0
Romania,0,3,7,5,1,0,4,0,3,0,4,6
Nigeria,0,0,0,0,0,0,0,0,0,0,0,0
Georgia,0,3,0,0,0,0,0,0,0,0,2,0
Hong Kong,0,2,2,0,0,0,0,0,0,1,0,1
Guinea,0,0,0,0,0,0,0,0,0,0,0,0
Kyrgyzstan,0,0,0,0,0,0,0,0,0,0,0,0
Montenegro,0,0,0,0,0,0,0,0,0,0,0,0
Benin,0,0,0,0,0,0,0,0,0,0,0,0
Croatia,10,10,4,3,3,8,6,10,10,10,12,12
Turks and Caicos Islands,1,1,0,0,0,0,0,0,0,0,0,0
Mexico,18,22,25,12,8,23,23,3,14,25,7,9
Northern Marianas,0,0,0,0,0,0,0,0,0,0,0,0
Guam,0,0,0,0,0,0,0,0,0,0,0,0
Laos,0,0,0,0,0,0,0,0,0,0,0,0
Honduras,0,0,0,0,0,0,0,0,0,0,0,0
Morocco,0,5,0,0,0,0,1,0,0,0,0,0
Indonesia,0,0,3,2,0,2,0,0,3,0,0,3
Monaco,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine,12,12,0,9,1,2,2,4,9,7,9,7
Canada,20,31,27,34,36,32,24,18,17,12,17,12
Jordan,0,0,0,0,0,0,0,0,0,0,0,0
South Ossetia,0,0,0,0,0,0,0,0,0,0,0,0
Portugal,5,13,1,3,1,1,3,2,10,5,10,22
Guernsey,10,0,0,0,0,0,0,0,0,0,0,0
India,8,8,6,4,6,6,0,0,0,0,0,0
Puerto Rico,0,0,0,0,0,0,0,0,0,0,0,0
Japan,17,23,17,25,24,26,34,19,40,27,26,24
Iran,0,0,0,0,0,0,0,0,0,0,0,0
Hungary,6,5,6,11,5,10,10,7,7,9,3,0
Bulgaria,3,7,5,5,3,5,0,1,0,0,0,2
Guinea-Bissau,0,0,0,0,0,0,0,0,0,0,0,0
Liberia,0,0,0,0,0,0,0,0,0,0,0,0
Togo,0,0,0,0,0,0,0,0,0,0,0,0
Niger,0,0,0,0,0,0,0,0,0,0,0,0
Lithuania,13,0,2,0,5,2,19,13,15,21,12,10
Dem Rep of Congo,0,0,0,0,0,0,0,0,0,0,0,0
Cyprus,4,0,0,0,0,0,0,0,0,2,0,0
Nagorno-Karabakh,0,0,0,0,0,0,0,0,0,0,0,0
Italy,25,22,18,20,26,21,19,28,20,17,23,15
Andorra,0,0,0,0,0,0,0,0,0,0,0,0
Botswana,0,0,0,0,0,0,0,0,0,0,0,0
Papua New Guinea,0,0,0,0,0,0,0,0,0,0,0,0
Mongolia,0,0,0,1,0,0,0,0,0,0,0,0
Ethiopia,0,8,0,0,0,0,1,3,0,1,0,0
Denmark,36,57,70,45,42,46,57,57,55,44,55,47
French Polynesia,0,0,0,0,5,0,0,0,0,0,0,0
Greece,4,8,12,18,5,18,9,11,15,4,6,14
Sri Lanka,2,4,0,0,0,0,0,0,1,0,0,1
Syria,0,0,0,0,0,0,0,0,0,0,0,0
Germany,82,90,86,80,68,73,84,78,62,65,71,53
Jersey,0,0,0,0,3,0,0,0,1,0,0,0
Armenia,0,0,0,0,2,3,0,0,0,1,2,4
Mozambique,1,0,1,0,0,0,0,0,0,0,0,0
Senegal,0,0,0,0,0,0,0,0,0,0,0,0
Palestine,0,0,3,0,0,0,0,0,0,0,0,0
Transdniestra,0,0,0,0,0,0,0,0,0,0,0,0
Bangladesh,0,0,0,0,0,0,0,0,0,0,0,0
Saint Vincent and The Grenadines,0,2,0,0,0,0,0,0,0,0,0,0
Turkmenistan,0,0,0,0,0,0,0,0,0,0,0,0
Eritrea,0,0,1,0,0,0,0,0,0,0,0,0
Switzerland,15,17,13,19,28,20,22,24,30,20,22,28
Malta,0,0,2,0,0,1,0,1,0,4,0,2
Israel,0,0,0,0,5,0,3,1,0,5,3,0
El Salvador,0,0,0,0,0,0,0,0,0,0,0,0
French Guiana,0,0,0,0,0,0,0,0,0,0,0,0
Tonga,0,0,0,0,0,0,0,0,0,0,0,0
Zimbabwe,0,0,0,0,0,0,0,0,0,0,0,0
Samoa,0,0,0,0,0,0,0,0,0,0,0,0
Barbados,0,0,3,0,0,0,5,2,1,0,0,0
Chile,5,7,11,1,1,0,2,5,2,2,0,5
Cambodia,3,0,0,0,3,2,0,0,0,3,0,0
Cook Islands,0,0,0,0,0,0,0,0,0,0,0,0
Trinidad & Tobago,0,0,5,0,0,0,0,0,0,0,0,0
Bhutan,0,0,0,0,0,0,0,0,0,0,0,0
Uzbekistan,0,0,0,0,0,0,0,0,0,0,0,0
Egypt,0,4,2,0,0,0,0,0,0,0,0,0
Norfolk Island,0,0,0,0,0,0,0,0,0,0,0,0
Kosovo,2,0,0,3,0,0,0,0,0,0,0,0
Uruguay,5,3,3,0,0,0,0,0,0,0,0,0
Bosnia and Herzegovina,0,0,0,0,0,0,0,0,2,2,0,0
Dominican Republic,0,0,0,0,2,0,0,0,0,0,0,0
Reunion,0,0,0,0,0,0,0,0,0,0,0,0
Wales,23,21,33,25,27,25,21,22,34,27,22,26
Virgin Islands (U.S.),0,0,0,0,0,0,0,0,0,0,0,0
Equatorial Guinea,0,0,0,0,0,0,0,0,0,0,0,0
Russia,21,5,18,8,14,22,13,18,21,6,11,17
Tajikistan,0,0,0,0,0,0,0,0,0,0,0,0
North Korea,0,0,0,0,0,0,0,0,0,0,0,0
Palau,0,0,0,0,0,0,0,0,0,0,0,0
Namibia,0,0,1,0,0,0,0,0,0,0,0,0
Bonaire,0,0,0,0,0,0,0,0,0,0,0,0
Cayman Islands,0,0,0,0,0,0,0,0,0,0,0,0
Australia,27,20,20,29,22,20,19,22,22,20,20,22
Martinique,0,0,0,0,0,1,0,0,0,0,0,0
Ecuador,0,0,0,0,0,0,0,0,0,0,0,0
Vanuatu,0,0,0,0,0,0,0,0,0,0,0,0
Tibet,0,0,0,0,0,0,0,0,0,0,0,0
Congo,0,0,0,0,0,0,0,0,0,0,0,0
Uganda,0,0,0,0,0,0,0,0,0,0,0,0
Saudi Arabia,0,0,0,0,0,0,0,0,0,0,0,0
Mauritius,2,0,0,0,0,0,0,0,0,0,0,0
Azerbaijan,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,2,13,7,8,14,8,7,0,0,0,1,0
Tunisia,1,1,0,0,0,0,0,0,0,0,0,0
Belize,0,0,0,0,0,0,0,0,0,0,0,0
Luxembourg,11,5,7,5,8,10,6,6,6,7,4,10
Madagascar,0,0,0,0,0,0,0,0,0,0,0,0
Aruba,0,0,0,0,0,0,0,0,0,0,0,0
Burundi,0,0,0,0,0,0,0,0,0,0,0,0
Spain,20,15,10,17,22,15,15,13,24,20,25,20
Abkhazia,0,0,0,0,0,0,0,0,0,0,0,0
Cape Verde Islands,0,0,0,0,0,0,0,0,0,0,0,0
East Timor,0,0,0,0,0,0,0,0,0,0,0,0
Swaziland,0,0,0,0,0,0,0,0,0,0,0,0
South Sudan,0,0,0,0,0,0,0,0,0,0,0,0
Guyana,0,0,0,0,0,0,0,0,0,0,0,0
Belarus,0,0,0,6,0,0,2,0,0,2,5,5
Austria,24,23,30,10,19,12,20,35,29,35,24,28
Bolivia,0,3,0,0,0,1,0,0,0,0,0,0
Central African Republic,0,0,0,0,0,0,0,0,0,0,0,0
Mali,0,0,0,0,0,0,0,0,0,0,0,0
Sierra Leone,0,0,0,0,0,0,0,0,0,0,0,0
Suriname,0,0,0,0,0,3,0,0,0,0,0,0
Solomon Islands,0,0,0,0,0,0,0,0,0,0,0,0
Rwanda,0,0,0,0,0,0,0,0,0,0,0,0
Brazil,12,17,12,12,12,12,12,12,12,12,12,12
Gibraltar,0,0,0,0,0,0,0,0,0,0,0,0
Taiwan,0,6,0,0,0,0,0,0,0,0,0,0
Vietnam,1,4,0,2,0,5,0,4,2,4,1,4
New Zealand,18,22,12,22,22,20,31,32,22,22,22,22
Fiji Islands,0,0,0,0,0,0,0,0,0,0,2,0
Turkey,2,1,0,4,4,3,4,0,0,0,0,0
Greenland,6,6,4,0,0,0,0,0,0,0,0,0
Moldova,0,0,0,0,0,0,0,0,0,0,0,0
Haiti,0,0,0,0,0,0,0,0,0,0,0,0
Falkland Islands,0,0,0,0,0,0,0,0,0,0,0,0
Guadeloupe,0,0,0,0,0,0,0,0,0,0,0,0
South Africa,6,6,0,0,0,3,0,8,3,0,0,9
Lesotho,0,0,0,0,0,0,0,0,0,0,0,0
Czech Republic,50,45,43,51,45,51,34,40,54,44,48,47
Micronesia,0,0,0,0,0,0,0,0,0,0,0,0
Paraguay,0,0,0,0,0,0,0,0,0,0,0,0
Iraq,0,0,0,0,0,0,0,0,0,0,0,0
Faroe Islands,5,5,4,7,3,9,2,0,0,0,0,0
Panama,0,0,0,0,0,0,0,0,0,0,0,5
Netherlands,53,45,50,30,35,40,46,38,30,29,32,37
Peru,2,0,2,2,0,0,0,0,0,1,0,0
Ivory Coast,0,0,0,0,0,0,0,0,0,0,0,0
Ghana,0,4,0,0,0,0,0,0,0,0,0,0
Sao Tome and Principe,0,0,0,0,0,0,0,0,0,0,0,0
Slovenia,5,4,3,4,0,1,6,7,7,7,8,6
Serbia,0,0,0,0,0,4,0,0,3,5,6,11
American Samoa,0,0,0,0,0,0,0,0,0,0,0,0
Macedonia,0,0,0,0,0,0,0,0,0,0,0,0
Latvia,4,1,10,0,8,7,0,7,1,3,8,7
Guatemala,0,0,0,0,0,0,0,0,0,0,0,0
Cuba,0,0,3,3,0,2,0,0,0,0,0,0
Venezuela,0,0,0,1,0,0,0,1,0,0,0,0
Angola,0,0,0,0,0,0,0,0,0,0,0,0
Saint Lucia,0,0,0,0,0,0,0,0,0,0,0,2
Finland,21,22,16,12,19,16,10,12,12,12,12,12
Nicaragua,0,0,0,0,0,0,0,0,0,0,0,0
Sweden,35,49,38,42,33,32,34,34,36,43,52,49
Seychelles,0,0,0,0,0,0,0,0,0,0,0,0
Poland,33,10,16,11,20,16,23,17,17,22,27,19
Libya,0,0,0,0,0,0,0,0,0,0,0,0
Isle of Man,6,6,8,5,5,4,4,3,4,4,2,4
Ireland,26,27,19,25,27,16,30,31,22,22,28,24
Myanmar,0,0,0,0,0,0,0,0,0,0,0,2
Algeria,0,0,0,0,0,0,0,0,0,0,0,0
Kazakhstan,0,0,0,0,0,0,0,0,0,0,0,0
Norway,19,32,26,29,44,38,34,45,22,30,23,12
"United States, Wisconsin",12,21,38,28,18,7,9,6,8,0,3,0
"United States, Georgia",0,0,0,2,0,4,0,0,0,0,0,0
"United States, Arkansas",0,0,0,0,0,0,0,0,0,0,0,0
"United States, Louisiana",0,0,0,0,0,0,0,0,0,1,2,0
"United States, West Virginia",0,0,0,0,0,0,0,0,0,0,0,0
"United States, California",45,57,57,68,74,74,69,62,61,76,82,57
"United States, Washington",12,8,3,8,12,0,6,2,6,9,16,18
"United States, Massachusetts",6,4,10,29,22,18,18,16,36,22,35,28
"United States, New Jersey",0,0,0,0,0,0,0,0,0,0,0,0
"United States, New York",24,43,44,60,54,50,57,46,44,54,38,55
"United States, Colorado",30,40,43,30,39,29,22,31,25,36,38,33
"United States, Maryland",5,12,27,38,32,41,26,32,31,28,12,10
"United States, Arizona",0,0,7,5,0,0,2,0,0,4,0,0
"United States, Pennsylvania",18,20,15,28,16,9,14,9,7,7,6,5
"United States, Indiana",0,0,0,0,3,0,0,3,0,6,0,2
"United States, Montana",0,2,0,2,0,0,1,0,0,0,0,0
"United States, South Dakota",0,0,0,0,0,0,0,0,0,0,0,0
"United States, Tennessee",0,0,0,0,0,0,0,0,0,0,0,6
"United States, Mississippi",0,0,0,0,0,0,0,0,0,0,0,0
"United States, Virginia",2,1,5,3,6,0,0,3,1,0,1,1
"United States, Missouri",9,21,15,10,1,1,13,11,7,6,8,5
"United States, Alabama",0,0,0,0,0,0,0,0,0,0,0,0
"United States, New Hampshire",2,0,0,1,6,0,0,0,3,6,4,1
"United States, Delaware",3,0,4,1,4,6,1,6,5,0,0,0
"United States, Iowa",0,0,0,0,0,0,0,0,0,0,0,4
"United States, Minnesota",5,7,0,0,1,4,4,0,2,0,0,0
"United States, Kentucky",0,0,0,0,1,2,0,0,0,0,0,0
"United States, North Carolina",0,2,0,4,0,7,7,0,0,0,0,0
"United States, Nebraska",0,0,0,0,0,0,0,0,0,0,0,0
"United States, Wyoming",0,0,0,0,0,0,0,0,0,0,0,0
"United States, Vermont",4,0,1,6,2,8,7,14,14,9,17,9
"United States, New Mexico",0,0,0,0,0,0,0,1,0,0,0,0
"United States, Alaska",3,3,0,5,4,2,5,7,0,2,0,0
"United States, Rhode Island",0,0,0,0,0,0,0,0,0,0,0,0
"United States, Kansas",0,0,0,0,0,0,0,0,0,0,0,0
"United States, Florida",0,0,0,8,7,0,3,6,9,12,7,9
"United States, Idaho",0,0,3,0,2,0,5,0,0,0,0,0
"United States, Maine",6,4,0,1,4,0,1,3,17,4,6,3
"United States, Ohio",0,2,0,12,13,2,21,3,4,2,1,5
"United States, Michigan",13,15,23,24,23,19,15,31,21,16,12,9
"United States, North Dakota",0,0,0,0,0,0,0,0,0,0,0,0
"United States, Nevada",0,0,0,5,1,0,0,0,0,3,0,0
"United States, Oregon",24,22,26,33,31,29,33,45,39,45,46,29
"United States, Hawaii",0,0,0,2,3,12,11,9,0,3,7,14
"United States, Connecticut",0,0,0,1,4,0,0,0,4,0,1,2
"United States, Texas",2,3,0,0,4,7,20,4,6,6,2,3
"United States, Illinois",9,3,1,2,21,10,5,15,12,21,25,11
"United States, South Carolina",0,0,0,0,1,0,2,4,0,4,2,2
"United States, Oklahoma",0,0,0,0,0,0,0,3,1,20,7,11
"United States, Utah",3,1,0,1,1,3,5,4,0,0,0,2
Costa Rica,0,0,0,0,0,4,0,0,0,0,0,0
Jamaica,0,0,2,1,2,0,0,0,0,0,0,0
Lebanon,0,0,0,0,0,0,0,0,0,1,0,0
Scotland,51,44,39,37,34,45,43,41,42,41,38,34
Dominica,0,0,0,0,0,0,0,0,0,0,0,0
England,90,78,98,56,68,60,58,48,54,54,56,74
Colombia,0,0,1,4,0,0,2,0,1,0,0,0
South Korea,0,3,0,0,0,2,4,0,2,0,7,5
Iceland,5,6,12,12,12,10,12,12,15,17,8,12
Macau,0,0,0,0,0,0,0,0,0,0,0,0
Grenada,0,0,0,0,0,0,0,0,0,0,0,3
Malaysia,0,0,0,0,0,0,0,0,0,0,0,0
Belgium,104,80,80,58,76,100,86,86,76,76,84,70
Bahamas,0,0,0,0,0,0,0,0,0,0,0,0
Philippines,0,0,1,0,0,0,0,1,1,0,0,5
Curaçao,0,0,0,0,0,0,0,0,0,0,0,0
San Marino,0,0,0,0,0,0,0,0,0,0,0,0
Turkish Republic of Cyprus,0,0,0,0,0,0,0,0,0,0,0,0
France,40,14,26,25,20,23,20,26,25,24,20,26
Bermuda,0,0,0,0,0,0,0,0,0,0,0,0
Mayotte,0,0,0,0,0,0,0,0,0,0,0,0
Antigua & Barbuda,0,0,0,0,0,0,0,0,0,0,0,0
Estonia,12,3,4,9,6,11,0,4,6,19,28,30
Gambia,0,0,0,0,0,0,0,0,0,0,0,0
Pakistan,0,0,0,0,0,0,0,0,0,0,0,0
New Caledonia,0,0,0,0,0,0,0,0,0,0,0,0
Slovak Republic,5,3,5,3,3,13,11,15,14,12,6,1
Liechtenstein,0,0,2,7,0,0,0,0,0,0,0,0
Tanzania,0,0,0,0,0,0,0,2,0,0,0,0
Malawi,0,0,0,0,0,0,0,0,0,0,0,0
Nepal,0,0,0,0,3,0,0,0,0,0,0,0
United Arab Emirates,0,0,0,0,0,0,0,0,0,0,0,0
Kenya,0,1,0,0,0,0,0,5,0,0,0,0
Thailand,1,1,1,0,2,0,3,5,2,5,0,4
Albania,0,0,0,0,0,0,0,0,0,0,0,2
"United Kingdom, England",0,0,4,0,0,0,0,0,0,0,0,0
UNKNOWN,0,0,0,0,0,0,0,0,0,0,0,0
"United States, United States",0,0,0,0,0,0,0,0,0,0,0,0
"United States</a> | <a href=""http://maps.google.com/maps?oi=map&q=%2C+US"" target=""_blank"">map",0,0,0,0,0,0,0,0,0,0,0,0
"United Kingdom, Wales",0,0,0,0,0,0,0,0,0,0,0,0
"United Kingdom, Scotland",0,0,0,0,0,0,0,0,0,0,0,0
